sim_id,N,M,k,theta1,pa,theta2,pb
1,5000,15000,14,0.05,0.8,0.01,0.01
2,5000,15000,14,0.05,0.8,0.01,0.05
3,5000,15000,14,0.05,0.8,0.01,0.1
4,5000,15000,14,0.05,0.8,0.01,0.15
5,5000,15000,14,0.05,0.8,0.01,0.2
6,5000,15000,14,0.05,0.8,0.025,0.01
7,5000,15000,14,0.05,0.8,0.025,0.05
8,5000,15000,14,0.05,0.8,0.025,0.1
9,5000,15000,14,0.05,0.8,0.025,0.15
10,5000,15000,14,0.05,0.8,0.025,0.2
11,5000,15000,14,0.05,0.8,0.05,0.01
12,5000,15000,14,0.05,0.8,0.05,0.05
13,5000,15000,14,0.05,0.8,0.05,0.1
14,5000,15000,14,0.05,0.8,0.05,0.15
15,5000,15000,14,0.05,0.8,0.05,0.2
16,5000,15000,14,0.05,0.8,0.075,0.01
17,5000,15000,14,0.05,0.8,0.075,0.05
18,5000,15000,14,0.05,0.8,0.075,0.1
19,5000,15000,14,0.05,0.8,0.075,0.15
20,5000,15000,14,0.05,0.8,0.075,0.2
21,5000,15000,14,0.05,0.8,0.1,0.01
22,5000,15000,14,0.05,0.8,0.1,0.05
23,5000,15000,14,0.05,0.8,0.1,0.1
24,5000,15000,14,0.05,0.8,0.1,0.15
25,5000,15000,14,0.05,0.8,0.1,0.2
26,5000,15000,14,0.05,0.85,0.01,0.01
27,5000,15000,14,0.05,0.85,0.01,0.05
28,5000,15000,14,0.05,0.85,0.01,0.1
29,5000,15000,14,0.05,0.85,0.01,0.15
30,5000,15000,14,0.05,0.85,0.01,0.2
31,5000,15000,14,0.05,0.85,0.025,0.01
32,5000,15000,14,0.05,0.85,0.025,0.05
33,5000,15000,14,0.05,0.85,0.025,0.1
34,5000,15000,14,0.05,0.85,0.025,0.15
35,5000,15000,14,0.05,0.85,0.025,0.2
36,5000,15000,14,0.05,0.85,0.05,0.01
37,5000,15000,14,0.05,0.85,0.05,0.05
38,5000,15000,14,0.05,0.85,0.05,0.1
39,5000,15000,14,0.05,0.85,0.05,0.15
40,5000,15000,14,0.05,0.85,0.05,0.2
41,5000,15000,14,0.05,0.85,0.075,0.01
42,5000,15000,14,0.05,0.85,0.075,0.05
43,5000,15000,14,0.05,0.85,0.075,0.1
44,5000,15000,14,0.05,0.85,0.075,0.15
45,5000,15000,14,0.05,0.85,0.075,0.2
46,5000,15000,14,0.05,0.85,0.1,0.01
47,5000,15000,14,0.05,0.85,0.1,0.05
48,5000,15000,14,0.05,0.85,0.1,0.1
49,5000,15000,14,0.05,0.85,0.1,0.15
50,5000,15000,14,0.05,0.85,0.1,0.2
51,5000,15000,14,0.05,0.9,0.01,0.01
52,5000,15000,14,0.05,0.9,0.01,0.05
53,5000,15000,14,0.05,0.9,0.01,0.1
54,5000,15000,14,0.05,0.9,0.01,0.15
55,5000,15000,14,0.05,0.9,0.01,0.2
56,5000,15000,14,0.05,0.9,0.025,0.01
57,5000,15000,14,0.05,0.9,0.025,0.05
58,5000,15000,14,0.05,0.9,0.025,0.1
59,5000,15000,14,0.05,0.9,0.025,0.15
60,5000,15000,14,0.05,0.9,0.025,0.2
61,5000,15000,14,0.05,0.9,0.05,0.01
62,5000,15000,14,0.05,0.9,0.05,0.05
63,5000,15000,14,0.05,0.9,0.05,0.1
64,5000,15000,14,0.05,0.9,0.05,0.15
65,5000,15000,14,0.05,0.9,0.05,0.2
66,5000,15000,14,0.05,0.9,0.075,0.01
67,5000,15000,14,0.05,0.9,0.075,0.05
68,5000,15000,14,0.05,0.9,0.075,0.1
69,5000,15000,14,0.05,0.9,0.075,0.15
70,5000,15000,14,0.05,0.9,0.075,0.2
71,5000,15000,14,0.05,0.9,0.1,0.01
72,5000,15000,14,0.05,0.9,0.1,0.05
73,5000,15000,14,0.05,0.9,0.1,0.1
74,5000,15000,14,0.05,0.9,0.1,0.15
